id,pays,prix,carburant,km,statut_vendeur_particulier,departement_2,marque_2,annee,mois,poid,id
10275010,FR,5990,Essence,37765,0,93,peugeot,2017,5,683,2017.Essence
10310379,FR,3500,Essence,78000,1,1,peugeot,2017,5,683,2017.Essence
10334866,FR,3200,Diesel,147181,0,34,peugeot,2017,5,1786,2017.Diesel
10428354,FR,4490,Diesel,121000,0,66,peugeot,2017,5,1786,2017.Diesel
10292487,FR,6900,Essence,120000,1,72,peugeot,2017,5,683,2017.Essence
10355386,FR,5950,Diesel,166500,0,89,peugeot,2017,5,1786,2017.Diesel
10386466,FR,6700,Essence,99000,0,69,peugeot,2017,5,683,2017.Essence
10393415,FR,5500,Essence,85000,0,84,peugeot,2017,5,683,2017.Essence
10308629,FR,7990,Diesel,128486,0,67,peugeot,2017,5,1786,2017.Diesel
7390611,FR,13290,Diesel,51415,0,72,nissan,2016,10,1102,2016.Diesel
7455440,FR,9900,Essence,22058,0,65,volkswagen,2016,10,225,2016.Essence
7455868,FR,15690,Essence,10,0,87,volkswagen,2016,10,225,2016.Essence
7463344,FR,13900,Essence,13650,0,7,volkswagen,2016,10,225,2016.Essence
7448053,FR,4500,Diesel,197800,0,95,fiat,2016,10,1102,2016.Diesel
7472093,FR,28990,Diesel,114850,0,38,bmw,2016,10,1102,2016.Diesel
7500579,FR,10900,Essence,14326,0,25,opel,2016,10,225,2016.Essence
7848800,FR,6450,Diesel,50000,1,93,ford,2016,11,1102,2016.Diesel
7741903,FR,14990,Diesel,142500,0,70,bmw,2016,11,1102,2016.Diesel
7777228,FR,4900,Diesel,133000,1,45,peugeot,2016,11,1102,2016.Diesel
10026649,FR,5450,Diesel,35000,0,8,peugeot,2017,4,1786,2017.Diesel
10049104,FR,8900,Diesel,78000,1,57,peugeot,2017,4,1786,2017.Diesel
9938847,FR,12640,Essence,1587,0,31,peugeot,2017,4,683,2017.Essence
10064330,FR,14490,Essence,950,0,74,peugeot,2017,4,683,2017.Essence
10782243,FR,49930,Essence,27000,0,67,bmw,2017,6,683,2017.Essence
10688985,FR,10900,Essence,4150,0,34,peugeot,2017,6,683,2017.Essence
10711356,FR,4900,Diesel,187000,0,44,alfa romeo,2017,6,1786,2017.Diesel
10756146,FR,3990,Essence,104900,0,56,peugeot,2017,6,683,2017.Essence
8638490,FR,23700,Diesel,5,0,6,citroen,2017,1,1786,2017.Diesel
8540261,FR,9900,Diesel,72355,0,69,citroen,2017,1,1786,2017.Diesel
8552116,FR,9990,Diesel,72000,0,45,citroen,2017,1,1786,2017.Diesel
8603824,FR,17880,Diesel,195767,0,77,audi,2017,1,1786,2017.Diesel
8559955,FR,24900,Diesel,146000,1,47,bmw,2017,1,1786,2017.Diesel
8579116,FR,3490,Essence,105000,0,83,peugeot,2017,1,683,2017.Essence
8613800,FR,4799,Diesel,119000,0,59,peugeot,2017,1,1786,2017.Diesel
10115255,FR,18490,Diesel,1700,0,70,peugeot,2017,4,1786,2017.Diesel
10542333,FR,8990,Diesel,17000,0,20,peugeot,2017,5,1786,2017.Diesel
10500654,FR,15900,Essence,27186,0,38,peugeot,2017,5,683,2017.Essence
10515382,FR,8900,Diesel,37245,1,62,peugeot,2017,5,1786,2017.Diesel
7368784,FR,12900,Diesel,52900,0,7,mazda,2016,10,1102,2016.Diesel
7483603,FR,48900,Diesel,14000,0,93,audi,2016,10,1102,2016.Diesel
7384549,FR,64500,Diesel,25500,0,68,bmw,2016,10,1102,2016.Diesel
7408833,FR,27900,Diesel,98000,0,57,bmw,2016,10,1102,2016.Diesel
7501321,FR,18990,Diesel,39990,0,59,mercedes-benz,2016,10,1102,2016.Diesel
7475265,FR,25495,Diesel,21628,0,69,mercedes-benz,2016,10,1102,2016.Diesel
7450346,FR,11490,Diesel,50977,0,13,peugeot,2016,10,1102,2016.Diesel
7453707,FR,11990,Diesel,18000,0,13,peugeot,2016,10,1102,2016.Diesel
7371193,FR,44500,Diesel,21991,0,13,bmw,2016,10,1102,2016.Diesel
7471282,FR,33500,Diesel,10,0,10,volvo,2016,10,1102,2016.Diesel
